id,Gender,Age,HasDrivingLicense,RegionID,Switch,VehicleAge,PastAccident,AnnualPremium,SalesChannelID,DaysSinceCreated,Result
163611,Female,69.0,1.0,31.0,,1-2 Year,Yes,£131.50 ,154,199,0
127641,,32.0,1.0,50.0,0.0,1-2 Year,Yes,"£1,623.85 ",156,279,0
54847,Female,50.0,1.0,8.0,1.0,1-2 Year,,"£1,675.95 ",26,273,0
224816,Female,21.0,1.0,41.0,1.0,< 1 Year,No,"£1,302.25 ",160,228,0
109867,Male,22.0,1.0,32.0,,< 1 Year,Yes,"£1,030.00 ",152,220,0
171535,,20.0,1.0,30.0,1.0,< 1 Year,,"£3,242.80 ",160,290,0
173926,Male,24.0,1.0,9.0,1.0,< 1 Year,Yes,"£1,096.70 ",152,165,0
179721,Female,55.0,1.0,35.0,0.0,,Yes,£131.50 ,156,53,0
141948,Male,22.0,1.0,8.0,1.0,< 1 Year,,"£2,112.20 ",152,207,0
339909,Male,55.0,1.0,28.0,,> 2 Years,Yes,"£1,991.65 ",26,231,1
250661,Female,27.0,1.0,29.0,,< 1 Year,,"£1,312.00 ",152,177,0
206449,Male,41.0,1.0,,,1-2 Year,Yes,"£2,218.85 ",26,150,1
319257,Female,29.0,,32.0,,< 1 Year,,"£1,634.05 ",152,36,0
61629,Female,26.0,1.0,30.0,1.0,< 1 Year,No,"£1,105.00 ",152,106,0
375200,Female,24.0,1.0,26.0,1.0,< 1 Year,No,"£1,877.10 ",152,187,0
220614,Male,26.0,1.0,28.0,,< 1 Year,No,"£2,385.40 ",152,110,0
143213,Female,25.0,1.0,33.0,,,,£131.50 ,152,151,0
301759,Female,30.0,1.0,11.0,1.0,< 1 Year,No,"£1,611.00 ",152,107,0
61064,Female,43.0,1.0,28.0,,,,"£2,612.30 ",26,233,0
128674,Female,40.0,,15.0,1.0,,No,"£2,247.80 ",26,191,0
379380,Male,64.0,1.0,8.0,,1-2 Year,,"£2,348.25 ",124,75,1
33412,Female,36.0,1.0,3.0,,> 2 Years,Yes,"£1,097.70 ",156,170,0
216856,Male,49.0,1.0,28.0,0.0,1-2 Year,Yes,"£1,885.05 ",26,73,1
276618,Female,24.0,1.0,,0.0,< 1 Year,Yes,"£2,137.35 ",152,292,1
379990,Female,28.0,1.0,3.0,1.0,< 1 Year,No,£131.50 ,152,65,0
368459,Female,24.0,1.0,13.0,0.0,< 1 Year,,"£1,349.65 ",156,59,0
332757,Male,37.0,1.0,,0.0,1-2 Year,Yes,"£1,069.30 ",124,262,0
28194,Female,21.0,1.0,15.0,,< 1 Year,,"£1,233.65 ",152,107,0
